,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
0,4.0,6.0,0.0,4.0,3.0,4.0,5.0,0.0,6.0,0.0,4.0,2.0,1.0,7.0,3.0,6.0,4.0,0.0,1.0,0.0,2.0,3.0,5.0,3.0,3.0,1.0,4.0,9.0,7.0,2.0,7.0,3.0,6.0
1,2.0,3.0,0.0,0.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,4.0
2,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
3,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0
4,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0
5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,4.0,0.0,0.0,3.0,4.0,4.0,3.0,1.0,13.0,0.0,2.0,5.0,3.0,5.0,4.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,5.0,1.0,9.0,1.0,0.0,4.0,1.0,3.0
7,5.0,1.0,1.0,3.0,7.0,14.0,4.0,4.0,17.0,1.0,10.0,2.0,5.0,6.0,6.0,13.0,6.0,0.0,3.0,2.0,5.0,9.0,9.0,3.0,6.0,2.0,2.0,10.0,1.0,0.0,6.0,1.0,6.0
8,8.0,7.0,0.0,1.0,3.0,15.0,3.0,0.0,21.0,2.0,3.0,2.0,7.0,8.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,5.0,3.0,6.0,2.0,4.0,11.0,5.0,2.0,18.0,1.0,7.0
9,4.0,10.0,1.0,0.0,1.0,13.0,1.0,3.0,14.0,2.0,6.0,2.0,7.0,4.0,3.0,6.0,8.0,0.0,2.0,0.0,3.0,2.0,10.0,2.0,5.0,2.0,2.0,12.0,2.0,2.0,6.0,1.0,7.0
10,2.0,1.0,2.0,2.0,3.0,7.0,4.0,2.0,12.0,1.0,2.0,1.0,8.0,1.0,0.0,4.0,6.0,1.0,6.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,2.0,5.0,5.0,0.0,4.0,1.0,4.0
11,5.0,7.0,0.0,2.0,3.0,10.0,2.0,1.0,15.0,2.0,5.0,0.0,3.0,3.0,2.0,3.0,7.0,2.0,3.0,1.0,3.0,4.0,5.0,0.0,6.0,0.0,3.0,4.0,5.0,0.0,2.0,0.0,9.0
12,5.0,8.0,2.0,3.0,3.0,6.0,1.0,1.0,20.0,1.0,7.0,4.0,9.0,7.0,7.0,4.0,7.0,1.0,2.0,0.0,4.0,5.0,5.0,4.0,12.0,0.0,2.0,5.0,5.0,0.0,4.0,0.0,6.0
13,6.0,6.0,0.0,2.0,5.0,7.0,4.0,2.0,21.0,1.0,10.0,3.0,13.0,12.0,3.0,10.0,13.0,0.0,1.0,1.0,7.0,5.0,10.0,4.0,4.0,2.0,5.0,15.0,6.0,2.0,7.0,0.0,4.0
14,7.0,4.0,0.0,6.0,7.0,11.0,2.0,0.0,20.0,0.0,5.0,3.0,5.0,4.0,4.0,9.0,10.0,2.0,2.0,0.0,6.0,4.0,12.0,4.0,10.0,0.0,2.0,11.0,3.0,0.0,9.0,0.0,4.0
15,4.0,2.0,0.0,5.0,5.0,8.0,5.0,1.0,12.0,1.0,4.0,2.0,2.0,10.0,8.0,4.0,7.0,1.0,4.0,0.0,6.0,12.0,8.0,3.0,10.0,3.0,5.0,16.0,0.0,2.0,12.0,3.0,9.0
16,10.0,5.0,1.0,1.0,3.0,7.0,2.0,6.0,19.0,3.0,7.0,6.0,6.0,10.0,2.0,9.0,5.0,0.0,5.0,1.0,7.0,15.0,2.0,4.0,11.0,2.0,7.0,22.0,4.0,0.0,9.0,2.0,8.0
17,6.0,10.0,1.0,3.0,3.0,14.0,6.0,4.0,25.0,1.0,9.0,1.0,6.0,18.0,5.0,13.0,5.0,0.0,7.0,1.0,15.0,12.0,10.0,4.0,14.0,3.0,9.0,10.0,1.0,0.0,13.0,0.0,10.0
18,10.0,13.0,2.0,2.0,4.0,20.0,11.0,7.0,50.0,2.0,11.0,9.0,10.0,20.0,10.0,12.0,14.0,0.0,5.0,0.0,18.0,13.0,11.0,5.0,14.0,3.0,8.0,27.0,5.0,3.0,13.0,2.0,20.0
19,13.0,7.0,0.0,7.0,9.0,19.0,8.0,5.0,41.0,3.0,6.0,8.0,15.0,22.0,10.0,19.0,17.0,3.0,3.0,0.0,17.0,22.0,18.0,5.0,31.0,2.0,8.0,24.0,9.0,2.0,16.0,5.0,23.0
